Processes,GridSize,Time
32,120,0.989139
32,120,1.023499
32,120,1.020750
32,120,1.020284
32,120,1.001244
32,240,8.748527
32,240,8.764638
32,240,8.737004
32,240,8.773799
32,240,8.738983
48,120,1.004460
48,120,0.984154
48,120,1.027808
48,120,0.984360
48,120,0.985112
48,240,8.647662
48,240,8.638590
48,240,8.657763
48,240,8.623290
48,240,8.716906
64,120,1.010901
64,120,1.022420
64,120,1.010700
64,120,1.009639
64,120,1.026932
64,240,8.589379
64,240,8.653584
64,240,8.683548
64,240,8.665029
64,240,8.662366
96,120,1.003446
96,120,1.011408
96,120,0.995977
96,120,1.011951
96,120,1.014499
96,240,8.578880
96,240,8.521185
96,240,8.604620
96,240,8.507553
96,240,8.534529
